idx,instance_id,repo,title,category,scores
0,astropy__astropy-12907,astropy/astropy,,bugfix,{'bugfix': 8}
1,astropy__astropy-14182,astropy/astropy,,compat,"{'bugfix': 4, 'feature': 2, 'compat': 12, 'docs': 3, 'refactor': 6}"
2,astropy__astropy-14365,astropy/astropy,,compat,"{'bugfix': 4, 'compat': 10, 'docs': 1, 'test': 9, 'refactor': 4}"
3,astropy__astropy-14995,astropy/astropy,,compat,"{'bugfix': 22, 'compat': 30}"
4,astropy__astropy-6938,astropy/astropy,,bugfix,"{'bugfix': 11, 'refactor': 2}"
5,astropy__astropy-7746,astropy/astropy,,bugfix,{'bugfix': 14}
6,django__django-10914,django/django,,bugfix,"{'bugfix': 13, 'compat': 2, 'docs': 3, 'refactor': 3}"
7,django__django-10924,django/django,,feature,{'feature': 2}
8,django__django-11001,django/django,,bugfix,"{'bugfix': 21, 'docs': 1}"
9,django__django-11019,django/django,,bugfix,{'bugfix': 6}
10,django__django-11039,django/django,,test,"{'feature': 2, 'test': 6}"
11,django__django-11049,django/django,,bugfix,"{'bugfix': 8, 'feature': 2, 'refactor': 6}"
12,django__django-11099,django/django,,bugfix,"{'bugfix': 2, 'feature': 2, 'docs': 1}"
13,django__django-11133,django/django,,bugfix,{}
14,django__django-11179,django/django,,bugfix,{}
15,django__django-11283,django/django,,bugfix,{'bugfix': 16}
16,django__django-11422,django/django,,compat,"{'feature': 2, 'compat': 2}"
17,django__django-11564,django/django,,feature,"{'bugfix': 3, 'feature': 4}"
18,django__django-11583,django/django,,compat,"{'bugfix': 8, 'feature': 4, 'compat': 48}"
19,django__django-11620,django/django,,bugfix,"{'bugfix': 21, 'feature': 4, 'docs': 1}"
20,django__django-11630,django/django,,bugfix,{'bugfix': 12}
21,django__django-11742,django/django,,feature,{'feature': 2}
22,django__django-11797,django/django,,bugfix,{}
23,django__django-11815,django/django,,bugfix,"{'bugfix': 11, 'docs': 1}"
24,django__django-11848,django/django,,feature,"{'bugfix': 6, 'feature': 12, 'refactor': 2}"
25,django__django-11905,django/django,,bugfix,"{'bugfix': 4, 'feature': 2}"
26,django__django-11910,django/django,,feature,{'feature': 4}
27,django__django-11964,django/django,,test,"{'bugfix': 14, 'feature': 2, 'docs': 1, 'test': 21}"
28,django__django-11999,django/django,,compat,"{'compat': 4, 'docs': 1}"
29,django__django-12113,django/django,,bugfix,"{'bugfix': 34, 'test': 24}"
30,django__django-12125,django/django,,bugfix,{'bugfix': 3}
31,django__django-12184,django/django,,bugfix,"{'bugfix': 25, 'compat': 6, 'refactor': 4}"
32,django__django-12284,django/django,,bugfix,"{'bugfix': 6, 'docs': 1}"
33,django__django-12286,django/django,,bugfix,"{'bugfix': 4, 'docs': 4}"
34,django__django-12308,django/django,,bugfix,"{'bugfix': 2, 'feature': 2, 'docs': 1}"
35,django__django-12453,django/django,,bugfix,"{'bugfix': 10, 'test': 3}"
36,django__django-12470,django/django,,bugfix,{}
37,django__django-12497,django/django,,bugfix,"{'bugfix': 7, 'compat': 2}"
38,django__django-12589,django/django,,bugfix,{'bugfix': 8}
39,django__django-12700,django/django,,docs,{'docs': 1}
40,django__django-12708,django/django,,bugfix,"{'bugfix': 9, 'feature': 6, 'refactor': 3}"
41,django__django-12747,django/django,,bugfix,"{'bugfix': 6, 'docs': 1, 'refactor': 2}"
42,django__django-12856,django/django,,feature,{'feature': 2}
43,django__django-12908,django/django,,bugfix,{}
44,django__django-12915,django/django,,bugfix,"{'bugfix': 12, 'feature': 2, 'compat': 2}"
45,django__django-12983,django/django,,test,"{'bugfix': 5, 'docs': 1, 'test': 12}"
46,django__django-13028,django/django,,bugfix,"{'bugfix': 18, 'compat': 14}"
47,django__django-13033,django/django,,bugfix,"{'bugfix': 8, 'test': 6}"
48,django__django-13158,django/django,,bugfix,"{'bugfix': 8, 'docs': 1}"
49,django__django-13220,django/django,,feature,"{'feature': 4, 'test': 3}"
50,django__django-13230,django/django,,feature,{'feature': 6}
51,django__django-13265,django/django,,bugfix,{'bugfix': 9}
52,django__django-13315,django/django,,bugfix,{'bugfix': 2}
53,django__django-13321,django/django,,bugfix,"{'bugfix': 59, 'compat': 48}"
54,django__django-13401,django/django,,test,{'test': 3}
55,django__django-13447,django/django,,bugfix,{}
56,django__django-13448,django/django,,compat,"{'bugfix': 41, 'feature': 6, 'compat': 48, 'test': 36}"
57,django__django-13551,django/django,,bugfix,"{'bugfix': 2, 'feature': 2}"
58,django__django-13590,django/django,,bugfix,{'bugfix': 10}
59,django__django-13658,django/django,,feature,"{'feature': 2, 'docs': 2}"
60,django__django-13660,django/django,,compat,"{'bugfix': 4, 'feature': 2, 'compat': 20, 'docs': 1}"
61,django__django-13710,django/django,,bugfix,"{'bugfix': 5, 'feature': 2}"
62,django__django-13757,django/django,,bugfix,"{'bugfix': 3, 'test': 3}"
63,django__django-13768,django/django,,bugfix,{'bugfix': 12}
64,django__django-13925,django/django,,bugfix,"{'bugfix': 9, 'docs': 1}"
65,django__django-13933,django/django,,bugfix,{'bugfix': 16}
66,django__django-13964,django/django,,bugfix,"{'bugfix': 12, 'test': 3}"
67,django__django-14016,django/django,,bugfix,"{'bugfix': 14, 'docs': 1}"
68,django__django-14017,django/django,,bugfix,"{'bugfix': 4, 'compat': 4, 'docs': 1}"
69,django__django-14155,django/django,,bugfix,{}
70,django__django-14238,django/django,,compat,"{'bugfix': 7, 'feature': 2, 'compat': 20, 'docs': 4}"
71,django__django-14382,django/django,,bugfix,{'bugfix': 12}
72,django__django-14411,django/django,,bugfix,{}
73,django__django-14534,django/django,,bugfix,"{'bugfix': 4, 'refactor': 2}"
74,django__django-14580,django/django,,bugfix,{'bugfix': 17}
75,django__django-14608,django/django,,bugfix,"{'bugfix': 8, 'feature': 8}"
76,django__django-14667,django/django,,docs,{'docs': 2}
77,django__django-14672,django/django,,compat,"{'bugfix': 6, 'feature': 8, 'compat': 40}"
78,django__django-14730,django/django,,bugfix,{'bugfix': 4}
79,django__django-14752,django/django,,feature,"{'bugfix': 2, 'feature': 4, 'docs': 2, 'refactor': 3}"
80,django__django-14787,django/django,,bugfix,"{'bugfix': 11, 'test': 6}"
81,django__django-14855,django/django,,bugfix,"{'bugfix': 3, 'feature': 2, 'docs': 1}"
82,django__django-14915,django/django,,bugfix,"{'bugfix': 4, 'feature': 2, 'docs': 1}"
83,django__django-14997,django/django,,bugfix,{'bugfix': 24}
84,django__django-14999,django/django,,bugfix,{}
85,django__django-15061,django/django,,docs,{'docs': 1}
86,django__django-15202,django/django,,bugfix,{'bugfix': 4}
87,django__django-15213,django/django,,bugfix,{'bugfix': 3}
88,django__django-15252,django/django,,bugfix,"{'bugfix': 9, 'test': 6}"
89,django__django-15320,django/django,,bugfix,{'bugfix': 3}
90,django__django-15347,django/django,,bugfix,"{'bugfix': 23, 'feature': 4}"
91,django__django-15388,django/django,,bugfix,{'bugfix': 8}
92,django__django-15400,django/django,,bugfix,"{'bugfix': 4, 'feature': 4}"
93,django__django-15498,django/django,,bugfix,{'bugfix': 12}
94,django__django-15695,django/django,,docs,{'docs': 1}
95,django__django-15738,django/django,,bugfix,"{'bugfix': 19, 'compat': 4}"
96,django__django-15781,django/django,,bugfix,"{'bugfix': 8, 'feature': 8, 'compat': 4, 'docs': 8}"
97,django__django-15789,django/django,,feature,"{'feature': 8, 'docs': 3}"
98,django__django-15790,django/django,,bugfix,"{'bugfix': 4, 'feature': 2}"
99,django__django-15814,django/django,,bugfix,"{'bugfix': 13, 'feature': 2, 'compat': 2}"
100,django__django-15819,django/django,,feature,{'feature': 2}
101,django__django-15851,django/django,,bugfix,{}
102,django__django-15902,django/django,,compat,{'compat': 8}
103,django__django-15996,django/django,,feature,{'feature': 2}
104,django__django-16041,django/django,,bugfix,"{'bugfix': 3, 'test': 3}"
105,django__django-16046,django/django,,bugfix,{'bugfix': 4}
106,django__django-16139,django/django,,bugfix,"{'bugfix': 6, 'refactor': 6}"
107,django__django-16229,django/django,,bugfix,"{'bugfix': 10, 'feature': 2, 'test': 3}"
108,django__django-16255,django/django,,bugfix,"{'bugfix': 19, 'compat': 12}"
109,django__django-16379,django/django,,compat,"{'bugfix': 4, 'feature': 4, 'compat': 10}"
110,django__django-16400,django/django,,bugfix,"{'bugfix': 14, 'feature': 6, 'docs': 1}"
111,django__django-16408,django/django,,bugfix,"{'bugfix': 14, 'feature': 2, 'test': 3}"
112,django__django-16527,django/django,,feature,{'feature': 4}
113,django__django-16595,django/django,,bugfix,"{'bugfix': 6, 'feature': 2}"
114,django__django-16816,django/django,,bugfix,{'bugfix': 35}
115,django__django-16820,django/django,,compat,{'compat': 12}
116,django__django-16873,django/django,,bugfix,"{'bugfix': 16, 'docs': 3, 'test': 6}"
117,django__django-16910,django/django,,bugfix,{'bugfix': 3}
118,django__django-17051,django/django,,feature,{'feature': 8}
119,django__django-17087,django/django,,bugfix,{'bugfix': 7}
120,matplotlib__matplotlib-18869,matplotlib/matplotlib,,feature,"{'feature': 24, 'compat': 12, 'docs': 3}"
121,matplotlib__matplotlib-22711,matplotlib/matplotlib,,compat,"{'bugfix': 14, 'compat': 30}"
122,matplotlib__matplotlib-22835,matplotlib/matplotlib,,compat,"{'bugfix': 20, 'compat': 40}"
